iter	Passed	Remaining
411	3979	5679
412	3989	5670
413	3998	5659
414	4007	5649
415	4017	5639
416	4026	5629
417	4035	5618
418	4045	5609
419	4054	5599
420	4063	5588
421	4072	5577
422	4081	5567
423	4091	5557
424	4100	5547
425	4110	5538
426	4119	5528
427	4128	5517
428	4137	5507
429	4147	5497
430	4157	5488
431	4167	5478
432	4176	5469
433	4186	5459
434	4196	5450
435	4205	5440
436	4214	5429
437	4224	5420
438	4233	5410
439	4242	5399
440	4252	5390
441	4261	5380
442	4271	5370
443	4281	5361
444	4290	5351
445	4299	5341
446	4308	5330
447	4317	5320
448	4327	5310
449	4336	5300
450	4346	5291
451	4358	5283
452	4367	5273
453	4376	5263
454	4386	5253
455	4395	5243
456	4404	5233
457	4414	5223
458	4423	5213
459	4433	5204
460	4441	5193
461	4450	5183
462	4459	5172
463	4469	5162
464	4478	5152
465	4487	5142
466	4496	5131
467	4505	5121
468	4514	5111
469	4523	5100
470	4532	5090
471	4541	5080
472	4551	5071
473	4560	5061
474	4569	5050
475	4578	5040
476	4587	5030
477	4596	5020
478	4606	5010
479	4615	5000
480	4624	4989
481	4633	4979
482	4643	4969
483	4652	4959
484	4661	4950
485	4671	4940
486	4680	4930
487	4689	4919
488	4698	4909
489	4707	4899
490	4716	4889
491	4725	4879
492	4735	4869
493	4743	4858
494	4752	4848
495	4762	4839
496	4771	4829
497	4780	4819
498	4789	4809
499	4799	4799
500	4807	4788
501	4816	4778
502	4825	4768
503	4834	4757
504	4843	4747
505	4851	4736
506	4859	4725
507	4868	4715
508	4878	4705
509	4886	4694
510	4895	4684
511	4904	4674
512	4913	4664
513	4923	4654
514	4932	4645
515	4941	4634
516	4951	4626
517	4961	4616
518	4970	4606
519	4979	4596
520	4988	4586
521	4997	4576
522	5006	4566
523	5016	4556
524	5025	4546
525	5034	4536
526	5043	4527
527	5053	4517
528	5062	4507
529	5070	4496
530	5079	4486
531	5088	4476
532	5098	4466
533	5107	4457
534	5116	4447
535	5126	4437
536	5135	4427
537	5144	4418
538	5153	4407
539	5162	4397
540	5171	4387
541	5180	4377
542	5190	4368
543	5199	4358
544	5207	4347
545	5218	4338
546	5226	4328
547	5235	4318
548	5245	4309
549	5254	4299
550	5263	4289
551	5272	4278
552	5281	4268
553	5290	4258
554	5300	4249
555	5310	4240
556	5320	4231
557	5329	4221
558	5340	4212
559	5350	4203
560	5359	4194
561	5369	4184
562	5377	4174
563	5387	4164
564	5396	4155
565	5405	4144
566	5414	4134
567	5422	4124
568	5432	4114
569	5441	4104
570	5450	4095
571	5460	4085
572	5469	4075
573	5478	4065
574	5487	4056
575	5497	4046
576	5508	4038
577	5518	4029
578	5527	4019
579	5536	4009
